epoch 0, training loss (NLL) 212.5756, training kl divergence 0.2572, valid error 165.3083, time 0.40  ***
epoch 1, training loss (NLL) 130.3388, training kl divergence 0.5412, valid error 111.5357, time 0.40  ***
epoch 2, training loss (NLL) 100.4175, training kl divergence 0.6630, valid error 92.5372, time 0.40  ***
epoch 3, training loss (NLL) 87.1059, training kl divergence 0.7217, valid error 83.5746, time 0.40  ***
epoch 4, training loss (NLL) 80.1957, training kl divergence 0.7672, valid error 78.1667, time 0.40  ***
epoch 5, training loss (NLL) 75.5348, training kl divergence 0.7995, valid error 74.2025, time 0.41  ***
epoch 6, training loss (NLL) 72.4821, training kl divergence 0.8162, valid error 71.9869, time 0.40  ***
epoch 7, training loss (NLL) 70.5084, training kl divergence 0.8278, valid error 70.6057, time 0.40  ***
epoch 8, training loss (NLL) 68.9519, training kl divergence 0.8371, valid error 68.9728, time 0.40  ***
epoch 9, training loss (NLL) 67.6588, training kl divergence 0.8472, valid error 68.0692, time 0.41  ***
epoch 10, training loss (NLL) 66.4817, training kl divergence 0.8548, valid error 67.1425, time 0.41  ***
epoch 11, training loss (NLL) 65.6084, training kl divergence 0.8583, valid error 66.8880, time 0.41  ***
epoch 12, training loss (NLL) 64.9657, training kl divergence 0.8591, valid error 66.8202, time 0.43  ***
epoch 13, training loss (NLL) 64.5737, training kl divergence 0.8606, valid error 65.6996, time 0.47  ***
epoch 14, training loss (NLL) 64.1056, training kl divergence 0.8615, valid error 65.2675, time 0.40  ***
epoch 15, training loss (NLL) 63.3972, training kl divergence 0.8599, valid error 64.6566, time 0.40  ***
epoch 16, training loss (NLL) 62.7990, training kl divergence 0.8558, valid error 64.0622, time 0.41  ***
epoch 17, training loss (NLL) 62.3254, training kl divergence 0.8498, valid error 63.8732, time 0.40  ***
epoch 18, training loss (NLL) 61.9591, training kl divergence 0.8428, valid error 63.5536, time 0.40  ***
epoch 19, training loss (NLL) 61.6499, training kl divergence 0.8361, valid error 63.2751, time 0.40  ***
epoch 20, training loss (NLL) 61.4172, training kl divergence 0.8307, valid error 63.1278, time 0.40  ***
epoch 21, training loss (NLL) 61.2332, training kl divergence 0.8271, valid error 63.0232, time 0.40  ***
epoch 22, training loss (NLL) 61.0029, training kl divergence 0.8255, valid error 62.9032, time 0.40  ***
epoch 23, training loss (NLL) 60.8026, training kl divergence 0.8235, valid error 62.7996, time 0.40  ***
epoch 24, training loss (NLL) 60.7502, training kl divergence 0.8220, valid error 62.4994, time 0.40  ***
epoch 25, training loss (NLL) 60.5824, training kl divergence 0.8211, valid error 62.3222, time 0.40  ***
epoch 26, training loss (NLL) 60.3005, training kl divergence 0.8194, valid error 62.0311, time 0.40  ***
