epoch 0, (supervised training loss (NLL) 234.0917, unsupervised training loss (NLL) 234.4968), (supervised training kl-div 9.7108, unsupervised training kl-div 9.6066), valid error 34.20% (1,710), time 1.86  ***
epoch 1, (supervised training loss (NLL) 200.9810, unsupervised training loss (NLL) 200.8083), (supervised training kl-div 5.5829, unsupervised training kl-div 5.6122), valid error 32.16% (1,608), time 1.81  ***
epoch 2, (supervised training loss (NLL) 175.9954, unsupervised training loss (NLL) 176.1482), (supervised training kl-div 6.9879, unsupervised training kl-div 7.0221), valid error 21.04% (1,052), time 1.83  ***
epoch 3, (supervised training loss (NLL) 149.6746, unsupervised training loss (NLL) 149.9839), (supervised training kl-div 10.0682, unsupervised training kl-div 10.0936), valid error 17.82% (891), time 1.88  ***
epoch 4, (supervised training loss (NLL) 135.8852, unsupervised training loss (NLL) 135.8571), (supervised training kl-div 11.8511, unsupervised training kl-div 11.8653), valid error 16.58% (829), time 1.86  ***
epoch 5, (supervised training loss (NLL) 125.6504, unsupervised training loss (NLL) 125.6456), (supervised training kl-div 13.3226, unsupervised training kl-div 13.3417), valid error 14.36% (718), time 1.87  ***
epoch 6, (supervised training loss (NLL) 117.9493, unsupervised training loss (NLL) 117.8885), (supervised training kl-div 14.6489, unsupervised training kl-div 14.6423), valid error 13.68% (684), time 1.90  ***
epoch 7, (supervised training loss (NLL) 111.6476, unsupervised training loss (NLL) 111.5818), (supervised training kl-div 15.9875, unsupervised training kl-div 15.9620), valid error 12.30% (615), time 1.85  ***
epoch 8, (supervised training loss (NLL) 106.9434, unsupervised training loss (NLL) 107.0017), (supervised training kl-div 16.9789, unsupervised training kl-div 16.9558), valid error 11.16% (558), time 1.87  ***
epoch 9, (supervised training loss (NLL) 103.4251, unsupervised training loss (NLL) 103.3981), (supervised training kl-div 17.7396, unsupervised training kl-div 17.6928), valid error 10.22% (511), time 1.86  ***
epoch 10, (supervised training loss (NLL) 100.4030, unsupervised training loss (NLL) 100.4833), (supervised training kl-div 18.3904, unsupervised training kl-div 18.3365), valid error 9.76% (488), time 1.86  ***
epoch 11, (supervised training loss (NLL) 97.9625, unsupervised training loss (NLL) 98.0959), (supervised training kl-div 18.8787, unsupervised training kl-div 18.8162), valid error 9.16% (458), time 1.85  ***
epoch 12, (supervised training loss (NLL) 96.0177, unsupervised training loss (NLL) 96.0845), (supervised training kl-div 19.3881, unsupervised training kl-div 19.3254), valid error 8.98% (449), time 1.84  ***
epoch 13, (supervised training loss (NLL) 94.1205, unsupervised training loss (NLL) 94.4565), (supervised training kl-div 19.7531, unsupervised training kl-div 19.6839), valid error 8.54% (427), time 1.86  ***
epoch 14, (supervised training loss (NLL) 92.5571, unsupervised training loss (NLL) 92.9540), (supervised training kl-div 20.1186, unsupervised training kl-div 20.0345), valid error 7.98% (399), time 1.96  ***
epoch 15, (supervised training loss (NLL) 91.1916, unsupervised training loss (NLL) 91.7080), (supervised training kl-div 20.4396, unsupervised training kl-div 20.3603), valid error 7.62% (381), time 1.95  ***
epoch 16, (supervised training loss (NLL) 90.1348, unsupervised training loss (NLL) 90.6555), (supervised training kl-div 20.7194, unsupervised training kl-div 20.6182), valid error 7.40% (370), time 1.97  ***
