epoch 0, training loss (NLL) 231.7555, training kl divergence 10.1777, valid error 203.7897, time 0.42  ***
epoch 1, training loss (NLL) 199.1188, training kl divergence 6.9167, valid error 188.1375, time 0.41  ***
epoch 2, training loss (NLL) 173.0689, training kl divergence 8.4341, valid error 157.5440, time 0.38  ***
epoch 3, training loss (NLL) 146.2625, training kl divergence 11.1429, valid error 138.2859, time 0.39  ***
epoch 4, training loss (NLL) 132.6820, training kl divergence 12.7679, valid error 125.6657, time 0.42  ***
epoch 5, training loss (NLL) 121.2439, training kl divergence 14.6639, valid error 116.6342, time 0.42  ***
epoch 6, training loss (NLL) 114.1666, training kl divergence 15.7825, valid error 110.5771, time 0.46  ***
epoch 7, training loss (NLL) 108.4389, training kl divergence 16.9317, valid error 105.5544, time 0.38  ***
epoch 8, training loss (NLL) 104.1233, training kl divergence 17.7453, valid error 102.1065, time 0.38  ***
epoch 9, training loss (NLL) 100.7119, training kl divergence 18.4563, valid error 98.4499, time 0.38  ***
epoch 10, training loss (NLL) 97.9690, training kl divergence 19.1216, valid error 96.4147, time 0.38  ***
epoch 11, training loss (NLL) 95.8030, training kl divergence 19.6730, valid error 94.4114, time 0.38  ***
epoch 12, training loss (NLL) 93.9476, training kl divergence 20.1167, valid error 92.4701, time 0.38  ***
epoch 13, training loss (NLL) 92.2345, training kl divergence 20.5979, valid error 91.1147, time 0.38  ***
epoch 14, training loss (NLL) 90.7138, training kl divergence 21.0285, valid error 89.5457, time 0.38  ***
epoch 15, training loss (NLL) 89.4194, training kl divergence 21.3985, valid error 88.4047, time 0.38  ***
epoch 16, training loss (NLL) 88.2684, training kl divergence 21.7006, valid error 87.3403, time 0.38  ***
epoch 17, training loss (NLL) 87.2581, training kl divergence 21.9872, valid error 86.2387, time 0.38  ***
epoch 18, training loss (NLL) 86.3848, training kl divergence 22.2301, valid error 85.5771, time 0.38  ***
epoch 19, training loss (NLL) 85.6036, training kl divergence 22.4700, valid error 85.4483, time 0.37  ***
epoch 20, training loss (NLL) 85.0028, training kl divergence 22.6325, valid error 84.2971, time 0.37  ***
epoch 21, training loss (NLL) 84.3753, training kl divergence 22.7737, valid error 84.2796, time 0.38  ***
epoch 22, training loss (NLL) 83.9076, training kl divergence 22.9368, valid error 83.5499, time 0.37  ***
epoch 23, training loss (NLL) 83.4352, training kl divergence 23.0364, valid error 83.0784, time 0.37  ***
epoch 24, training loss (NLL) 83.0115, training kl divergence 23.1746, valid error 82.7611, time 0.37  ***
epoch 25, training loss (NLL) 82.6294, training kl divergence 23.2781, valid error 82.3875, time 0.37  ***
