epoch 0, training loss (NLL) 274.7916, training kl divergence 5.6225, valid error 206.2614, time 0.43  ***
epoch 1, training loss (NLL) 204.9710, training kl divergence 1.2220, valid error 201.2176, time 0.43  ***
epoch 2, training loss (NLL) 197.0735, training kl divergence 2.5214, valid error 191.9098, time 0.43  ***
epoch 3, training loss (NLL) 191.4397, training kl divergence 2.5312, valid error 190.0436, time 0.44  ***
epoch 4, training loss (NLL) 190.2098, training kl divergence 2.2306, valid error 189.0984, time 0.43  ***
epoch 5, training loss (NLL) 189.0195, training kl divergence 2.2374, valid error 187.7651, time 0.43  ***
epoch 6, training loss (NLL) 187.1759, training kl divergence 2.4755, valid error 185.3963, time 0.43  ***
epoch 7, training loss (NLL) 182.9666, training kl divergence 3.0342, valid error 178.4136, time 0.44  ***
epoch 8, training loss (NLL) 175.9395, training kl divergence 3.7104, valid error 173.5084, time 0.44  ***
epoch 9, training loss (NLL) 172.0993, training kl divergence 3.9416, valid error 169.8124, time 0.44  ***
epoch 10, training loss (NLL) 167.4062, training kl divergence 4.4804, valid error 163.5462, time 0.43  ***
epoch 11, training loss (NLL) 160.3599, training kl divergence 5.1917, valid error 157.0005, time 0.44  ***
epoch 12, training loss (NLL) 155.4321, training kl divergence 5.5356, valid error 153.2353, time 0.43  ***
epoch 13, training loss (NLL) 152.0804, training kl divergence 5.7930, valid error 150.0380, time 0.43  ***
epoch 14, training loss (NLL) 147.9453, training kl divergence 6.2888, valid error 144.8583, time 0.43  ***
epoch 15, training loss (NLL) 142.7711, training kl divergence 6.6943, valid error 141.0239, time 0.53  ***
epoch 16, training loss (NLL) 139.8981, training kl divergence 6.8712, valid error 138.6256, time 0.49  ***
epoch 17, training loss (NLL) 137.2952, training kl divergence 7.1898, valid error 135.8618, time 0.51  ***
epoch 18, training loss (NLL) 134.9343, training kl divergence 7.4468, valid error 133.6665, time 0.53  ***
epoch 19, training loss (NLL) 132.6662, training kl divergence 7.6995, valid error 131.4742, time 0.50  ***
epoch 20, training loss (NLL) 130.1857, training kl divergence 8.0271, valid error 128.8208, time 0.51  ***
epoch 21, training loss (NLL) 127.6506, training kl divergence 8.3407, valid error 126.3860, time 0.48  ***
epoch 22, training loss (NLL) 125.3083, training kl divergence 8.6304, valid error 124.0259, time 0.44  ***
epoch 23, training loss (NLL) 122.9482, training kl divergence 8.9586, valid error 121.7309, time 0.45  ***
epoch 24, training loss (NLL) 120.7439, training kl divergence 9.2329, valid error 119.7662, time 0.44  ***
epoch 25, training loss (NLL) 118.8085, training kl divergence 9.4692, valid error 117.8275, time 0.46  ***
epoch 26, training loss (NLL) 117.0080, training kl divergence 9.7072, valid error 116.2594, time 0.47  ***
epoch 27, training loss (NLL) 115.4173, training kl divergence 9.9229, valid error 114.7317, time 0.47  ***
epoch 28, training loss (NLL) 113.9101, training kl divergence 10.1342, valid error 113.1750, time 0.45  ***
epoch 29, training loss (NLL) 112.3989, training kl divergence 10.3788, valid error 111.8000, time 0.44  ***
epoch 30, training loss (NLL) 110.9284, training kl divergence 10.5943, valid error 110.4721, time 0.47  ***
epoch 31, training loss (NLL) 109.5776, training kl divergence 10.7898, valid error 109.1112, time 0.46  ***
epoch 32, training loss (NLL) 108.3623, training kl divergence 10.9707, valid error 108.0389, time 0.46  ***
epoch 33, training loss (NLL) 107.2134, training kl divergence 11.1343, valid error 106.8732, time 0.46  ***
epoch 34, training loss (NLL) 106.1112, training kl divergence 11.3077, valid error 105.8988, time 0.46  ***
epoch 35, training loss (NLL) 105.0616, training kl divergence 11.4744, valid error 104.8057, time 0.45  ***
epoch 36, training loss (NLL) 104.0676, training kl divergence 11.6262, valid error 104.0249, time 0.45  ***
epoch 37, training loss (NLL) 103.1419, training kl divergence 11.7782, valid error 103.0795, time 0.45  ***
epoch 38, training loss (NLL) 102.2881, training kl divergence 11.9213, valid error 102.2401, time 0.45  ***
epoch 39, training loss (NLL) 101.4967, training kl divergence 12.0477, valid error 101.4943, time 0.45  ***
epoch 40, training loss (NLL) 100.7270, training kl divergence 12.1681, valid error 100.8020, time 0.46  ***
epoch 41, training loss (NLL) 100.0138, training kl divergence 12.2894, valid error 100.0382, time 0.45  ***
epoch 42, training loss (NLL) 99.3117, training kl divergence 12.4001, valid error 99.3157, time 0.46  ***
epoch 43, training loss (NLL) 98.6664, training kl divergence 12.5173, valid error 98.6415, time 0.45  ***
epoch 44, training loss (NLL) 98.0146, training kl divergence 12.6130, valid error 98.0440, time 0.45  ***
epoch 45, training loss (NLL) 97.3958, training kl divergence 12.7117, valid error 97.4386, time 0.45  ***
epoch 46, training loss (NLL) 96.8356, training kl divergence 12.7922, valid error 97.0300, time 0.45  ***
epoch 47, training loss (NLL) 96.3029, training kl divergence 12.8741, valid error 96.4523, time 0.46  ***
epoch 48, training loss (NLL) 95.7879, training kl divergence 12.9466, valid error 95.8689, time 0.45  ***
epoch 49, training loss (NLL) 95.2884, training kl divergence 13.0244, valid error 95.4655, time 0.45  ***
epoch 50, training loss (NLL) 94.8117, training kl divergence 13.1040, valid error 95.0363, time 0.46  ***
epoch 51, training loss (NLL) 94.3846, training kl divergence 13.1897, valid error 94.5020, time 0.48  ***
epoch 52, training loss (NLL) 93.8974, training kl divergence 13.2480, valid error 94.0522, time 0.48  ***
epoch 53, training loss (NLL) 93.4512, training kl divergence 13.3251, valid error 93.6542, time 0.51  ***
epoch 54, training loss (NLL) 92.9900, training kl divergence 13.4038, valid error 93.1968, time 0.48  ***
epoch 55, training loss (NLL) 92.6035, training kl divergence 13.4783, valid error 92.8101, time 0.47  ***
epoch 56, training loss (NLL) 92.1607, training kl divergence 13.5511, valid error 92.4178, time 0.47  ***
epoch 57, training loss (NLL) 91.7735, training kl divergence 13.6270, valid error 92.0379, time 0.45  ***
epoch 58, training loss (NLL) 91.3561, training kl divergence 13.7034, valid error 91.6003, time 0.45  ***
epoch 59, training loss (NLL) 90.9557, training kl divergence 13.7708, valid error 91.2485, time 0.45  ***
epoch 60, training loss (NLL) 90.5501, training kl divergence 13.8483, valid error 90.8868, time 0.45  ***
epoch 61, training loss (NLL) 90.1881, training kl divergence 13.9260, valid error 90.5137, time 0.45  ***
epoch 62, training loss (NLL) 89.8096, training kl divergence 14.0144, valid error 90.0321, time 0.45  ***
epoch 63, training loss (NLL) 89.4226, training kl divergence 14.0748, valid error 89.6095, time 0.45  ***
epoch 64, training loss (NLL) 89.0504, training kl divergence 14.1417, valid error 89.3367, time 0.45  ***
epoch 65, training loss (NLL) 88.7383, training kl divergence 14.2094, valid error 89.0942, time 0.47  ***
epoch 66, training loss (NLL) 88.3862, training kl divergence 14.3003, valid error 88.7248, time 0.45  ***
epoch 67, training loss (NLL) 88.0541, training kl divergence 14.3721, valid error 88.2951, time 0.45  ***
epoch 68, training loss (NLL) 87.7241, training kl divergence 14.4271, valid error 87.9773, time 0.45  ***
epoch 69, training loss (NLL) 87.4133, training kl divergence 14.4813, valid error 87.6782, time 0.45  ***
epoch 70, training loss (NLL) 87.1128, training kl divergence 14.5466, valid error 87.5451, time 0.45  ***
epoch 71, training loss (NLL) 86.7745, training kl divergence 14.6016, valid error 87.1761, time 0.45  ***
epoch 72, training loss (NLL) 86.5137, training kl divergence 14.6647, valid error 87.0397, time 0.45  ***
epoch 73, training loss (NLL) 86.2292, training kl divergence 14.7038, valid error 86.6556, time 0.44  ***
epoch 74, training loss (NLL) 85.9615, training kl divergence 14.7569, valid error 86.3869, time 0.45  ***
epoch 75, training loss (NLL) 85.7033, training kl divergence 14.8207, valid error 86.1579, time 0.43  ***
epoch 76, training loss (NLL) 85.4674, training kl divergence 14.8666, valid error 85.8666, time 0.45  ***
epoch 77, training loss (NLL) 85.2033, training kl divergence 14.9276, valid error 85.5898, time 0.46  ***
epoch 78, training loss (NLL) 84.9745, training kl divergence 14.9555, valid error 85.4232, time 0.44  ***
epoch 79, training loss (NLL) 84.7260, training kl divergence 15.0220, valid error 85.1090, time 0.42  ***
epoch 80, training loss (NLL) 84.5149, training kl divergence 15.0579, valid error 84.9877, time 0.43  ***
epoch 81, training loss (NLL) 84.3000, training kl divergence 15.0862, valid error 84.7332, time 0.42  ***
epoch 82, training loss (NLL) 84.0690, training kl divergence 15.1365, valid error 84.5816, time 0.42  ***
epoch 83, training loss (NLL) 83.8353, training kl divergence 15.1722, valid error 84.3866, time 0.42  ***
epoch 84, training loss (NLL) 83.6560, training kl divergence 15.2254, valid error 84.1298, time 0.42  ***
epoch 85, training loss (NLL) 83.4203, training kl divergence 15.2635, valid error 83.8699, time 0.43  ***
epoch 86, training loss (NLL) 83.2261, training kl divergence 15.2996, valid error 83.7454, time 0.42  ***
epoch 87, training loss (NLL) 83.0197, training kl divergence 15.3373, valid error 83.5877, time 0.43  ***
epoch 88, training loss (NLL) 82.8273, training kl divergence 15.3650, valid error 83.3446, time 0.42  ***
epoch 89, training loss (NLL) 82.6882, training kl divergence 15.4084, valid error 83.1758, time 0.43  ***
epoch 90, training loss (NLL) 82.4746, training kl divergence 15.4471, valid error 82.9561, time 0.45  ***
epoch 91, training loss (NLL) 82.2918, training kl divergence 15.4806, valid error 82.8784, time 0.45  ***
epoch 92, training loss (NLL) 82.1409, training kl divergence 15.5230, valid error 82.7133, time 0.45  ***
epoch 93, training loss (NLL) 81.9370, training kl divergence 15.5619, valid error 82.5217, time 0.42  ***
epoch 94, training loss (NLL) 81.7922, training kl divergence 15.5804, valid error 82.4360, time 0.42  ***
epoch 95, training loss (NLL) 81.6291, training kl divergence 15.6018, valid error 82.2307, time 0.42  ***
epoch 96, training loss (NLL) 81.5005, training kl divergence 15.6331, valid error 82.0283, time 0.43  ***
epoch 97, training loss (NLL) 81.3171, training kl divergence 15.6663, valid error 81.8464, time 0.42  ***
epoch 98, training loss (NLL) 81.1879, training kl divergence 15.6805, valid error 81.7835, time 0.42  ***
epoch 99, training loss (NLL) 81.0298, training kl divergence 15.7154, valid error 81.6946, time 0.42  ***
epoch 100, training loss (NLL) 80.9001, training kl divergence 15.7507, valid error 81.5190, time 0.42  ***
epoch 101, training loss (NLL) 80.7517, training kl divergence 15.7749, valid error 81.3817, time 0.42  ***
epoch 102, training loss (NLL) 80.6144, training kl divergence 15.8066, valid error 81.2319, time 0.42  ***
epoch 103, training loss (NLL) 80.4696, training kl divergence 15.8353, valid error 81.0866, time 0.42  ***
epoch 104, training loss (NLL) 80.3347, training kl divergence 15.8531, valid error 80.9226, time 0.43  ***
epoch 105, training loss (NLL) 80.1979, training kl divergence 15.8908, valid error 80.8156, time 0.42  ***
epoch 106, training loss (NLL) 80.0673, training kl divergence 15.9124, valid error 80.7138, time 0.42  ***
epoch 107, training loss (NLL) 79.9469, training kl divergence 15.9417, valid error 80.5359, time 0.42  ***
epoch 108, training loss (NLL) 79.8381, training kl divergence 15.9813, valid error 80.4339, time 0.42  ***
epoch 109, training loss (NLL) 79.6903, training kl divergence 16.0065, valid error 80.4459, time 0.42 
epoch 110, training loss (NLL) 79.5751, training kl divergence 16.0169, valid error 80.2918, time 0.42  ***
epoch 111, training loss (NLL) 79.4327, training kl divergence 16.0476, valid error 80.1090, time 0.42  ***
epoch 112, training loss (NLL) 79.3270, training kl divergence 16.0778, valid error 79.9403, time 0.42  ***
epoch 113, training loss (NLL) 79.2044, training kl divergence 16.0972, valid error 79.9004, time 0.42  ***
epoch 114, training loss (NLL) 79.0893, training kl divergence 16.1159, valid error 79.7690, time 0.42  ***
