epoch 0, training loss (NLL) 274.5629, training kl divergence 5.8533, valid error 205.7958, time 0.61  ***
epoch 1, training loss (NLL) 204.3520, training kl divergence 1.2192, valid error 200.8714, time 0.69  ***
epoch 2, training loss (NLL) 197.9031, training kl divergence 2.1040, valid error 192.9199, time 0.67  ***
epoch 3, training loss (NLL) 192.2377, training kl divergence 2.2330, valid error 190.8526, time 0.67  ***
epoch 4, training loss (NLL) 191.0158, training kl divergence 2.2216, valid error 189.9132, time 0.67  ***
epoch 5, training loss (NLL) 190.0523, training kl divergence 2.4090, valid error 188.8841, time 0.57  ***
epoch 6, training loss (NLL) 187.8706, training kl divergence 2.8865, valid error 184.7139, time 0.58  ***
epoch 7, training loss (NLL) 181.7598, training kl divergence 3.5950, valid error 179.2164, time 0.57  ***
epoch 8, training loss (NLL) 178.5721, training kl divergence 3.7568, valid error 177.4217, time 0.57  ***
epoch 9, training loss (NLL) 177.0334, training kl divergence 3.8929, valid error 175.9405, time 0.57  ***
epoch 10, training loss (NLL) 174.9806, training kl divergence 4.2449, valid error 173.3144, time 0.61  ***
epoch 11, training loss (NLL) 171.1134, training kl divergence 4.8718, valid error 168.0798, time 0.58  ***
epoch 12, training loss (NLL) 165.3776, training kl divergence 5.5687, valid error 162.5233, time 0.57  ***
epoch 13, training loss (NLL) 160.6635, training kl divergence 5.9398, valid error 159.2474, time 0.58  ***
epoch 14, training loss (NLL) 157.8912, training kl divergence 6.1477, valid error 157.0661, time 0.57  ***
epoch 15, training loss (NLL) 155.8152, training kl divergence 6.3474, valid error 155.0923, time 0.57  ***
epoch 16, training loss (NLL) 153.8528, training kl divergence 6.5886, valid error 153.0534, time 0.59  ***
epoch 17, training loss (NLL) 151.2718, training kl divergence 6.9824, valid error 149.9225, time 0.57  ***
epoch 18, training loss (NLL) 148.3309, training kl divergence 7.3082, valid error 147.2660, time 0.59  ***
epoch 19, training loss (NLL) 145.9278, training kl divergence 7.6022, valid error 145.2507, time 0.57  ***
epoch 20, training loss (NLL) 143.8727, training kl divergence 7.8997, valid error 143.1987, time 0.58  ***
epoch 21, training loss (NLL) 142.0882, training kl divergence 8.1598, valid error 141.3158, time 0.58  ***
epoch 22, training loss (NLL) 140.3925, training kl divergence 8.4050, valid error 139.9397, time 0.57  ***
epoch 23, training loss (NLL) 138.7736, training kl divergence 8.6577, valid error 137.9765, time 0.58  ***
epoch 24, training loss (NLL) 137.0437, training kl divergence 8.8870, valid error 136.4570, time 0.58  ***
epoch 25, training loss (NLL) 135.4396, training kl divergence 9.1567, valid error 134.6871, time 0.58  ***
epoch 26, training loss (NLL) 133.9082, training kl divergence 9.3871, valid error 133.4752, time 0.58  ***
epoch 27, training loss (NLL) 132.5590, training kl divergence 9.6152, valid error 132.0857, time 0.57  ***
epoch 28, training loss (NLL) 131.2678, training kl divergence 9.7862, valid error 130.8516, time 0.57  ***
epoch 29, training loss (NLL) 130.1994, training kl divergence 9.9702, valid error 130.0181, time 0.57  ***
epoch 30, training loss (NLL) 129.2048, training kl divergence 10.1699, valid error 128.9050, time 0.57  ***
epoch 31, training loss (NLL) 128.2684, training kl divergence 10.3362, valid error 128.0210, time 0.57  ***
epoch 32, training loss (NLL) 127.2969, training kl divergence 10.5167, valid error 127.0395, time 0.60  ***
epoch 33, training loss (NLL) 126.3220, training kl divergence 10.6791, valid error 126.1473, time 0.61  ***
epoch 34, training loss (NLL) 125.4195, training kl divergence 10.8612, valid error 125.4592, time 0.57  ***
epoch 35, training loss (NLL) 124.5394, training kl divergence 11.0016, valid error 124.4996, time 0.58  ***
epoch 36, training loss (NLL) 123.6533, training kl divergence 11.1542, valid error 123.7188, time 0.57  ***
epoch 37, training loss (NLL) 122.8909, training kl divergence 11.3120, valid error 123.1912, time 0.57  ***
epoch 38, training loss (NLL) 122.0935, training kl divergence 11.4575, valid error 122.0612, time 0.59  ***
epoch 39, training loss (NLL) 121.3699, training kl divergence 11.5862, valid error 121.5896, time 0.57  ***
epoch 40, training loss (NLL) 120.6368, training kl divergence 11.7224, valid error 120.9606, time 0.55  ***
epoch 41, training loss (NLL) 119.9649, training kl divergence 11.8337, valid error 120.0817, time 0.57  ***
epoch 42, training loss (NLL) 119.3538, training kl divergence 11.9731, valid error 119.7490, time 0.59  ***
epoch 43, training loss (NLL) 118.7346, training kl divergence 12.1026, valid error 119.0945, time 0.58  ***
epoch 44, training loss (NLL) 118.1076, training kl divergence 12.2068, valid error 118.8522, time 0.58  ***
epoch 45, training loss (NLL) 117.4971, training kl divergence 12.3244, valid error 117.8125, time 0.59  ***
epoch 46, training loss (NLL) 116.9315, training kl divergence 12.4090, valid error 117.3688, time 0.57  ***
epoch 47, training loss (NLL) 116.3542, training kl divergence 12.5258, valid error 117.0916, time 0.54  ***
epoch 48, training loss (NLL) 115.8872, training kl divergence 12.6372, valid error 116.4433, time 0.59  ***
epoch 49, training loss (NLL) 115.3601, training kl divergence 12.7419, valid error 115.8604, time 0.58  ***
epoch 50, training loss (NLL) 114.9477, training kl divergence 12.8522, valid error 115.3865, time 0.57  ***
epoch 51, training loss (NLL) 114.3683, training kl divergence 12.9177, valid error 114.6919, time 0.55  ***
epoch 52, training loss (NLL) 113.9340, training kl divergence 13.0275, valid error 114.5955, time 0.55  ***
epoch 53, training loss (NLL) 113.5368, training kl divergence 13.1067, valid error 113.8636, time 0.57  ***
epoch 54, training loss (NLL) 113.1217, training kl divergence 13.1965, valid error 113.4534, time 0.58  ***
epoch 55, training loss (NLL) 112.6989, training kl divergence 13.2726, valid error 113.0585, time 0.61  ***
epoch 56, training loss (NLL) 112.2826, training kl divergence 13.3507, valid error 112.7273, time 0.59  ***
epoch 57, training loss (NLL) 111.9385, training kl divergence 13.4285, valid error 112.5514, time 0.56  ***
epoch 58, training loss (NLL) 111.4903, training kl divergence 13.5088, valid error 111.8284, time 0.55  ***
epoch 59, training loss (NLL) 111.1301, training kl divergence 13.5860, valid error 111.5714, time 0.59  ***
